id,source_drug_id,target_drug_id
566,DB00008,DB00563
567,DB00008,DB00564
568,DB00008,DB00570
569,DB00008,DB00588
570,DB00008,DB00591
571,DB00008,DB00601
572,DB00008,DB00619
573,DB00008,DB00620
574,DB00008,DB00631
575,DB00008,DB00635
576,DB00008,DB00642
577,DB00008,DB00687
578,DB00008,DB00688
579,DB00008,DB00694
580,DB00008,DB00755
581,DB00008,DB00762
582,DB00008,DB00763
583,DB00008,DB00764
584,DB00008,DB00773
585,DB00008,DB00795
586,DB00008,DB00851
587,DB00008,DB00853
588,DB00008,DB00859
589,DB00008,DB00860
590,DB00008,DB00877
591,DB00008,DB00888
592,DB00008,DB00928
593,DB00008,DB00958
594,DB00008,DB00959
595,DB00008,DB00970
596,DB00008,DB00987
597,DB00008,DB00993
598,DB00008,DB00997
599,DB00008,DB01005
600,DB00008,DB01008
601,DB00008,DB01024
602,DB00008,DB01030
603,DB00008,DB01033
604,DB00008,DB01041
605,DB00009,DB06605
606,DB00009,DB06695
607,DB00009,DB01254
608,DB00009,DB01609
609,DB00009,DB01586
610,DB00009,DB02123
611,DB00009,DB02659
612,DB00009,DB02691
613,DB00009,DB03619
614,DB00009,DB04348
615,DB00009,DB05990
616,DB00009,DB06777
617,DB00009,DB08833
618,DB00009,DB08834
619,DB00009,DB08857
620,DB00009,DB11622
621,DB00009,DB11789
622,DB00009,DB09075
623,DB00009,DB09053
624,DB00009,DB08935
625,DB00009,DB06228
626,DB00009,DB06206
627,DB00009,DB09070
628,DB00009,DB00932
629,DB00009,DB00013
630,DB00009,DB00163
631,DB00009,DB09030
632,DB00009,DB06692
633,DB00009,DB00727
634,DB00009,DB01381
635,DB00009,DB01181
636,DB00009,DB00468
637,DB00009,DB00908
638,DB00009,DB00675
639,DB00009,DB00539
640,DB00009,DB00806
641,DB00009,DB00686
642,DB00009,DB00583
643,DB00009,DB00255
644,DB00009,DB00269
645,DB00009,DB00286
646,DB00009,DB00783
647,DB00009,DB00977
648,DB00009,DB01357
649,DB00009,DB04573
650,DB00009,DB04574
651,DB00009,DB04575
652,DB00009,DB07931
653,DB00009,DB09317
654,DB00009,DB09318
655,DB00009,DB09369
656,DB00009,DB09381
657,DB00009,DB11478
658,DB00009,DB11674
659,DB00009,DB12487
660,DB00009,DB13143
661,DB00009,DB13386
662,DB00009,DB13418
663,DB00009,DB13952
664,DB00009,DB13953
665,DB00009,DB13954
666,DB00009,DB13956
667,DB00009,DB15334
668,DB00009,DB15335
669,DB00009,DB00159
670,DB00009,DB00244
671,DB00009,DB00328
672,DB00009,DB00461
673,DB00009,DB00465
674,DB00009,DB00469
675,DB00009,DB00482
676,DB00009,DB00500
677,DB00009,DB00533
678,DB00009,DB00554
679,DB00009,DB00573
680,DB00009,DB00580
681,DB00009,DB00586
682,DB00009,DB00605
683,DB00009,DB00712
684,DB00009,DB00749
685,DB00009,DB00784
686,DB00009,DB00788
687,DB00009,DB00795
688,DB00009,DB00812
689,DB00009,DB00814
690,DB00009,DB00821
691,DB00009,DB00861
692,DB00009,DB00936
693,DB00009,DB00939
694,DB00009,DB00991
695,DB00009,DB01009
696,DB00009,DB01014
697,DB00009,DB01250
698,DB00009,DB01283
699,DB00009,DB01397
700,DB00009,DB01399
701,DB00009,DB01401
702,DB00009,DB01419
703,DB00009,DB01424
704,DB00009,DB01435
705,DB00011,DB06643
706,DB00011,DB00005
707,DB00011,DB00008
708,DB00011,DB00018
709,DB00011,DB00022
710,DB00011,DB00026
711,DB00011,DB00033
712,DB00011,DB00034
713,DB00011,DB00041
714,DB00011,DB00051
715,DB00011,DB00056
716,DB00011,DB00059
717,DB00011,DB00065
718,DB00011,DB00068
719,DB00011,DB00069
720,DB00011,DB00073
721,DB00011,DB00074
722,DB00011,DB00075
723,DB00011,DB00078
724,DB00011,DB00081
725,DB00011,DB00087
726,DB00011,DB00092
727,DB00011,DB00095
