id,source_id,condition_id,drug_id
606,2,355,DB00523
607,2,356,DB00930
608,2,38,DB01156
609,2,9,DB01156
610,2,359,DB00348
611,2,9,DB00184
612,2,360,DB00627
613,2,361,DB00627
614,2,17,DB00665
615,2,520,DB00404
616,2,38,DB00404
617,2,362,DB09073
618,2,95,DB00400
619,2,363,DB06761
620,2,86,DB00671
621,2,197,DB01189
622,2,364,DB00795
623,2,245,DB00795
624,2,467,DB00795
625,2,223,DB00795
626,2,365,DB00634
627,2,1,DB01268
628,2,383,DB00669
629,2,73,DB00669
630,2,366,DB06795
631,2,127,DB00625
632,2,367,DB01238
633,2,143,DB01238
634,2,368,DB01238
635,2,369,DB01229
636,2,360,DB06209
637,2,38,DB00285
638,2,116,DB00285
639,2,370,DB00964
640,2,155,DB00949
641,2,371,DB08826
642,2,139,DB00554
643,2,372,DB09517
644,2,266,DB08918
645,2,373,DB01006
646,2,374,DB00757
647,2,165,DB00757
648,2,527,DB00281
649,2,558,DB00281
650,2,551,DB00281
651,2,559,DB00281
652,2,557,DB00281
653,2,507,DB00281
654,2,375,DB00281
655,2,376,DB06412
656,2,377,DB00006
657,2,378,DB00822
658,2,379,DB01242
659,2,381,DB01099
660,2,127,DB00649
661,2,251,DB00111
662,2,382,DB00973
663,2,384,DB08881
664,2,385,DB11793
665,2,386,DB00910
666,2,388,DB09037
667,2,389,DB01144
668,2,392,DB01026
669,2,391,DB01026
670,2,390,DB01026
671,2,393,DB06212
672,2,394,DB01080
673,2,292,DB00104
674,2,104,DB09075
675,2,103,DB06655
676,2,269,DB06655
677,2,396,DB00468
678,2,397,DB06774
679,2,398,DB00110
680,2,399,DB06824
681,2,400,DB01278
682,2,401,DB09036
683,2,402,DB00666
684,2,403,DB00639
685,2,69,DB00497
686,2,405,DB00497
687,2,138,DB00239
688,2,54,DB00553
689,2,404,DB00553
690,2,70,DB00980
691,2,50,DB00423
692,2,408,DB01212
693,2,409,DB08899
694,2,255,DB00261
695,2,410,DB00775
696,2,411,DB00526
697,2,397,DB00321
698,2,412,DB00445
699,2,413,DB00337
700,2,104,DB06605
701,2,414,DB01271
702,2,415,DB06799
703,2,16,DB00346
704,2,416,DB01019
705,2,451,DB00302
706,2,417,DB00302
707,2,369,DB05578
708,2,420,DB00200
709,2,38,DB00476
710,2,338,DB00476
711,2,423,DB00716
712,2,539,DB01083
713,2,424,DB01083
714,2,49,DB00227
715,2,425,DB00421
716,2,84,DB00950
717,2,88,DB00950
718,2,85,DB00950
719,2,426,DB00090
720,2,427,DB00507
721,2,428,DB06794
722,2,429,DB11363
723,2,270,DB00178
724,2,488,DB00437
725,2,430,DB00437
726,2,83,DB00341
727,2,84,DB00341
728,2,187,DB00724
729,2,8,DB00724
730,2,257,DB00642
731,2,431,DB01042
732,2,432,DB01042
733,2,433,DB01400
734,2,434,DB00899
735,2,435,DB04854
736,2,63,DB01182
737,2,442,DB06724
738,2,441,DB06724
739,2,6,DB06724
740,2,443,DB00490
741,2,125,DB00237
742,2,377,DB00063
743,2,23,DB00328
744,2,58,DB00328
745,2,476,DB00328
746,2,211,DB00328
747,2,1,DB06626
748,2,445,DB11915
749,2,446,DB08917
750,2,447,DB00303
751,2,448,DB00700
752,2,127,DB06414
753,2,284,DB01267
754,2,449,DB08820
755,2,450,DB00748
756,2,116,DB00230
757,2,338,DB00230
758,2,452,DB00648
759,2,385,DB09074
760,2,18,DB01030
761,2,352,DB01005
762,2,461,DB01005
763,2,453,DB00305
764,2,63,DB04855
765,2,192,DB00888
766,2,457,DB00874
767,2,456,DB00874
768,2,83,DB00874
769,2,281,DB00874
770,2,455,DB00874
771,2,454,DB00874
772,2,458,DB06674
773,2,245,DB06674
774,2,459,DB08903
775,2,62,DB06663
776,2,460,DB06663
777,2,84,DB00471
778,2,72,DB06218
779,2,462,DB00432
780,2,266,DB06684
781,2,258,DB00928
782,2,191,DB00541
783,2,419,DB00369
784,2,464,DB06402
785,2,53,DB00220
786,2,53,DB00238
787,2,181,DB01367
788,2,259,DB01194
789,2,71,DB00993
790,2,264,DB00993
791,2,57,DB00993
792,2,316,DB00294
793,2,468,DB13896
794,2,469,DB09053
795,2,419,DB00529
796,2,408,DB00438
797,2,470,DB00331
798,2,106,DB06285
799,2,233,DB06701
800,2,471,DB06813
801,2,472,DB01016
802,2,473,DB01206
803,2,267,DB00740
804,2,474,DB01045
805,2,143,DB00734
806,2,150,DB00989
807,2,475,DB00911
808,2,477,DB00662
809,2,63,DB00204
810,2,127,DB08930
811,2,38,DB00176
812,2,478,DB01270
813,2,138,DB08933
814,2,142,DB00402
815,2,480,DB00501
816,2,3,DB00501
817,2,161,DB02600
818,2,481,DB09330
819,2,238,DB08912
820,2,482,DB11791
821,2,483,DB04868
822,2,63,DB01195
823,2,485,DB00530
824,2,486,DB00763
825,2,487,DB00834
826,2,429,DB09063
827,2,80,DB00601
828,2,143,DB00334
829,2,368,DB00334
830,2,147,DB09054
831,2,346,DB00744
832,2,142,DB09034
833,2,57,DB08879
834,2,208,DB00195
835,2,489,DB00804
836,2,227,DB00275
837,2,490,DB00275
838,2,491,DB01210
839,2,493,DB05541
840,2,129,DB08816
841,2,494,DB00187
842,2,160,DB08880
843,2,495,DB06290
844,2,29,DB01281
845,2,496,DB04911
846,2,497,DB01100
847,2,39,DB00938
848,2,498,DB00260
849,2,360,DB01193
850,2,143,DB01224
851,2,499,DB04835
852,2,500,DB00697
853,2,501,DB00593
854,2,502,DB08885
855,2,478,DB08885
856,2,201,DB00419
857,2,127,DB00109
858,2,503,DB11596
859,2,329,DB00153
860,2,215,DB02300
861,2,504,DB00561
862,2,118,DB06262
863,2,250,DB01263
864,2,506,DB01263
865,2,507,DB00280
866,2,508,DB01151
867,2,127,DB00503
868,2,304,DB00035
869,2,509,DB00035
870,2,276,DB00035
871,2,535,DB00035
872,2,73,DB00918
873,2,290,DB00103
874,2,141,DB00539
875,2,510,DB01155
876,2,511,DB06292
877,2,143,DB04946
878,2,512,DB00947
879,2,513,DB00696
880,2,364,DB00199
881,2,516,DB00199
882,2,514,DB00199
883,2,222,DB00362
884,2,515,DB08828
885,2,352,DB00002
886,2,517,DB02659
887,2,518,DB00566
888,2,160,DB00068
889,2,519,DB06014
890,2,259,DB00654
891,2,104,DB06228
892,2,521,DB00481
893,2,523,DB00709
894,2,127,DB00709
895,2,524,DB00349
896,2,386,DB06410
897,2,525,DB00072
898,2,209,DB00072
899,2,431,DB00488
900,2,49,DB01076
901,2,526,DB01627
902,2,265,DB08890
903,2,528,DB08860
904,2,529,DB01220
905,2,530,DB11921
906,2,531,DB01196
907,2,532,DB06772
908,2,533,DB06616
909,2,103,DB00731
910,2,233,DB00289
911,2,502,DB08896
912,2,93,DB05679
913,2,467,DB05679
914,2,536,DB01058
915,2,538,DB12095
916,2,467,DB08895
917,2,153,DB01309
918,2,543,DB04938
919,2,143,DB00246
920,2,368,DB00246
921,2,44,DB00798
922,2,18,DB00441
923,2,250,DB00582
924,2,485,DB00317
925,2,26,DB01181
926,2,335,DB00180
927,2,544,DB09102
928,2,496,DB06219
929,2,139,DB00991
930,2,545,DB00205
931,2,258,DB01262
932,2,69,DB01192
933,2,546,DB01192
934,2,156,DB08932
935,2,352,DB09035
936,2,153,DB01306
937,2,547,DB05676
938,2,548,DB00043
939,2,532,DB08913
940,2,549,DB00026
941,2,550,DB01364
942,2,552,DB08901
943,2,553,DB13161
944,2,367,DB11823
945,2,206,DB01066
946,2,346,DB01409
947,2,554,DB01127
948,2,143,DB06016
949,2,199,DB00051
950,2,556,DB00051
951,2,29,DB00051
952,2,119,DB09072
953,2,50,DB00660
954,2,561,DB00080
955,2,60,DB00935
956,2,562,DB05990
957,2,27,DB00712
958,2,201,DB06720
959,2,103,DB01276
960,2,160,DB08868
961,2,563,DB08916
962,2,216,DB08910
963,2,72,DB04953
964,2,156,DB11362
965,2,385,DB12332
966,2,435,DB09208
967,2,111,DB00717
968,2,119,DB01255
969,2,190,DB00691
970,2,565,DB09077
971,2,493,DB08883
972,2,515,DB09143
973,2,566,DB13874
974,2,113,DB05332
975,2,567,DB08827
976,2,568,DB04951
977,2,1,DB06186
978,1,587,DB00586
979,1,994,DB00586
980,1,1007,DB00586
981,1,1320,DB00586
982,1,1247,DB00586
983,1,1141,DB00586
984,1,1277,DB00586
985,1,1075,DB00586
986,1,1425,DB00586
987,1,612,DB00586
988,1,658,DB00586
989,1,811,DB00586
990,1,1408,DB00586
991,1,1215,DB00586
992,1,1149,DB00586
993,1,1364,DB00586
994,1,655,DB00586
995,1,1054,DB00586
996,1,690,DB00586
997,1,973,DB00586
998,1,587,DB00586
999,1,994,DB00586
1000,1,1007,DB00586
1001,1,1320,DB00586
1002,1,1247,DB00586
1003,1,1141,DB00586
1004,1,1277,DB00586
1005,1,1075,DB00586
1006,1,1425,DB00586
1007,1,612,DB00586
1008,1,658,DB00586
1009,1,811,DB00586
1010,1,1408,DB00586
1011,1,1215,DB00586
1012,1,1149,DB00586
1013,1,1364,DB00586
1014,1,655,DB00586
1015,1,1054,DB00586
1016,1,690,DB00586
1017,1,973,DB00586
1018,1,587,DB00586
1019,1,994,DB00586
1020,1,1007,DB00586
1021,1,1320,DB00586
1022,1,1247,DB00586
1023,1,1141,DB00586
1024,1,1277,DB00586
1025,1,1075,DB00586
1026,1,1425,DB00586
1027,1,612,DB00586
1028,1,658,DB00586
1029,1,811,DB00586
1030,1,1408,DB00586
1031,1,1215,DB00586
1032,1,1149,DB00586
1033,1,1364,DB00586
1034,1,655,DB00586
1035,1,1054,DB00586
1036,1,690,DB00586
1037,1,973,DB00586
1038,1,587,DB00586
1039,1,994,DB00586
1040,1,1007,DB00586
1041,1,1320,DB00586
1042,1,1247,DB00586
1043,1,1141,DB00586
1044,1,1277,DB00586
1045,1,1075,DB00586
1046,1,1425,DB00586
1047,1,612,DB00586
1048,1,658,DB00586
1049,1,811,DB00586
1050,1,1408,DB00586
1051,1,1215,DB00586
1052,1,1149,DB00586
1053,1,1364,DB00586
1054,1,655,DB00586
1055,1,1054,DB00586
1056,1,690,DB00586
1057,1,973,DB00586
1058,1,587,DB00586
1059,1,994,DB00586
1060,1,1007,DB00586
1061,1,1320,DB00586
1062,1,1247,DB00586
1063,1,1141,DB00586
1064,1,1277,DB00586
1065,1,1075,DB00586
1066,1,1425,DB00586
1067,1,612,DB00586
1068,1,658,DB00586
1069,1,811,DB00586
1070,1,1408,DB00586
1071,1,1215,DB00586
1072,1,1149,DB00586
1073,1,1364,DB00586
1074,1,655,DB00586
1075,1,1054,DB00586
1076,1,690,DB00586
1077,1,973,DB00586
1078,1,587,DB00586
1079,1,994,DB00586
1080,1,1007,DB00586
1081,1,1320,DB00586
1082,1,1247,DB00586
1083,1,1141,DB00586
1084,1,1277,DB00586
1085,1,1075,DB00586
1086,1,1425,DB00586
1087,1,612,DB00586
1088,1,658,DB00586
1089,1,811,DB00586
1090,1,1408,DB00586
1091,1,1215,DB00586
1092,1,1149,DB00586
1093,1,1364,DB00586
1094,1,655,DB00586
1095,1,1054,DB00586
1096,1,690,DB00586
1097,1,973,DB00586
1098,1,587,DB00586
1099,1,994,DB00586
1100,1,1007,DB00586
1101,1,1320,DB00586
1102,1,1247,DB00586
1103,1,1141,DB00586
1104,1,1277,DB00586
1105,1,1075,DB00586
1106,1,1425,DB00586
1107,1,612,DB00586
1108,1,658,DB00586
1109,1,811,DB00586
1110,1,1408,DB00586
1111,1,1215,DB00586
1112,1,1149,DB00586
1113,1,1364,DB00586
1114,1,655,DB00586
1115,1,1054,DB00586
1116,1,690,DB00586
1117,1,973,DB00586
1118,1,587,DB00586
1119,1,994,DB00586
1120,1,1007,DB00586
1121,1,1320,DB00586
1122,1,1247,DB00586
1123,1,1141,DB00586
1124,1,1277,DB00586
1125,1,1075,DB00586
1126,1,1425,DB00586
1127,1,612,DB00586
1128,1,658,DB00586
1129,1,811,DB00586
1130,1,1408,DB00586
1131,1,1215,DB00586
1132,1,1149,DB00586
1133,1,1364,DB00586
1134,1,655,DB00586
1135,1,1054,DB00586
1136,1,690,DB00586
1137,1,973,DB00586
1138,1,1152,DB00758
1139,1,879,DB00758
1140,1,792,DB00758
1141,1,1324,DB00758
1142,1,916,DB00758
1143,1,1055,DB00758
1144,1,620,DB00758
1145,1,1323,DB00758
1146,1,886,DB00758
1147,1,1430,DB00758
1148,1,1105,DB00758
1149,1,1388,DB00758
1150,1,595,DB00758
1151,1,1000,DB00758
1152,1,1404,DB00758
1153,1,589,DB00758
1154,1,1154,DB00758
1155,1,1001,DB00758
1156,1,1152,DB00758
1157,1,879,DB00758
1158,1,792,DB00758
1159,1,1324,DB00758
1160,1,916,DB00758
1161,1,1055,DB00758
1162,1,620,DB00758
1163,1,1323,DB00758
1164,1,886,DB00758
1165,1,1430,DB00758
1166,1,1105,DB00758
1167,1,1388,DB00758
1168,1,595,DB00758
1169,1,1000,DB00758
1170,1,1404,DB00758
1171,1,589,DB00758
1172,1,1154,DB00758
1173,1,1001,DB00758
1174,1,1152,DB00758
1175,1,879,DB00758
1176,1,792,DB00758
1177,1,1324,DB00758
1178,1,916,DB00758
